what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803055192
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1384803058422
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803062162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803065757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803068585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803070047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803070986
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1384803071468
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1384803072489
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1384803084215
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803101699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803104746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803106286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803258145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803283760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803286318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803290098
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1384803290413
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1384803290733
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1384803291278
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1384803291763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384803321988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803322215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803336638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384803345918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803346296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803401651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384803407815
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384803411010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384803413944
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803417886
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803419272
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1384803448622
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803448658
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803458039
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803459353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803485610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803492472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384803507341
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384803513685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803516072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803519219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803519813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803523704
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803637409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384803638887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384803639322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384803640097
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803645223
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803646217
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384803711597
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803711757
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803711807
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803714954
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803720902
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803733219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384803739296
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384803743107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803745345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803747586
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384803870162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803874829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384803875731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804271859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804285181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804287946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804289413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804290458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804294132
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1384804300247
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1384804301140
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1384804312892
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384804493404
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384804533130
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384804534925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804563831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804591617
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1384804595795
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384804596262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804868719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804869720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804882130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804883261
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384804883388
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1384804883649
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1384804883649
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1384804883650
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1384804883650
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1384804883650
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1384804883650
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1384804883650
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1384804883650
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1384804883650
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1384804883651
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1384804883651
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1384804883651
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1384804883652
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1384804883690
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1384804883690
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1384804883744
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1384804883785
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1384804883785
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1384804883785
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1384804883785
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1384804883797
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1384804883797
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1384804883797
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1384805245151
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1384805245152
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1384805245153
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1384805245153
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1384805245153
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1384805245154
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1384805245154
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1384805245154
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1384805245154
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1384805245155
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1384805245156
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1384805245157
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1384805245157
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1384805245158
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1384805245158
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1384805245158
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1384805245158
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1384805245159
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1384805245160
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1384805245160
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1384805245161
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1384805245161
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1384805245162
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1384805245162
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1384805245163
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1384805245163
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1384805245163
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1384805245164
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1384805245165
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1384805245165
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1384805245167
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1384805245167
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1384805245167
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1384805245168
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1384805245168
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1384805245168
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1384805245169
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1384805245169
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1384805245170
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1384805245170
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1384805245171
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1384805245171
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1384805245172
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1384805245172
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1384805245172
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1384805245173
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1384805245174
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1384805245174
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1384805245174
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1384805245175
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1384805245175
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1384805245176
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1384805245176
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1384805245177
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1384805245178
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1384805245178
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1384805245179
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1384805245179
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1384805245180
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1384805245181
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1384805245181
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1384805245182
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1384805245182
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1384805245182
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1384805245183
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1384805245184
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1384805245184
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1384805245185
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1384805245185
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1384805245186
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1384805245186
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1384805245186
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1384805245187
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1384805245188
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1384805245189
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1384805245189
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1384805245189
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1384805245189
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1384805245190
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1384805245191
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1384805245191
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1384805245191
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1384805245192
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1384805245192
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1384805245193
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1384805245194
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1384805245194
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1384805245195
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1384805245195
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1384805245196
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1384805245196
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1384805245196
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1384805245197
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1384805245197
os,sysinfo,,,"win32",1384805245199
arch,sysinfo,,,"x86",1384805245199
ws,sysinfo,,,"win32",1384805245199
locale,sysinfo,,,"en_US",1384805245199
processors,sysinfo,,,"4",1384805245199
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1384805245199
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1384805245199
java.specification.name,sysinfo,,,"Java Platform API Specification",1384805245199
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384805245199
java.specification.version,sysinfo,,,"1.6",1384805245199
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1384805245199
java.version,sysinfo,,,"1.6.0_23",1384805245199
java.vm.info,sysinfo,,,"mixed mode",1384805245199
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1384805245199
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1384805245199
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384805245199
java.vm.specification.version,sysinfo,,,"1.0",1384805245199
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1384805245199
java.vm.version,sysinfo,,,"19.0-b09",1384805245199
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1384805245855
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1384805245910
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1384805245953
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384805317800
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384805317844
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384805318310
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384805318825
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384805318868
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384805319332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805320444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805321671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805322371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805323372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805325971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805326446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805327099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805327594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805327971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805341631
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384805341645
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1384805342347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805361618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805362838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805363170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805363676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805364444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805364976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805365410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805365947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805390338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805390943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805391563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805392741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805545618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805546898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805554914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384805556056
